datum,land,type,slachtoffers,publicatie_datum,Nederland_ind,Europe_ind,World_ind,man_made,Marokko_ind,Turkije_ind,Belgie_ind,Duitsland_ind,Indonesie_ind,Polen_ind,Suriname_ind,Oceanie_ind,Afrika_ind,Amerika_ind,Asie_ind
2020-04-26,Nederland,bosbrand,0,26.04.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,Verenigde staten,,0,21.02.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-03-03,Oekraïne,oorlog,0,3.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,Nederland,brand,0,20.04.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-17,Afghanistan,,0,17.03.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-24,Nederland,,zero,24.06.2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,Frankrijk,rellen,67,14.03.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,Spanje,hittegolf,0,28.06.2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-27,Verenigde staten,orkaan,0,27.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-02-04,Rusland,coronacrisis,0,2.04.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-08-05,Rusland,bosbranden,8,8.05.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-13,Verenigde staten,coronavirus,41,13.03.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-11-01,Puerto rico,aardbeving,1,11.01.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-12-13,Peru,protesten,7,13.12.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-07,Duitsland,bosbrand,0,2.07.2019,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-11-15,Italië,overstromingen,2,15.11.2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-13,Japan,tyfoon,10,13.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-14,Turkije,overstromingen,50,14.08.2021,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2019-11-10,Japan,tyfoon,0,11.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-07-01,Japan,coronavirus,0,7.01.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-23,Afghanistan,,,23.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-03-06,Oekraïne,voedselcrisis,0,03.06.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-17,Verenigde staten,,0,17.12.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-10-08,Frankrijk,bosbrand,0,10.08.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-18,Verenigde staten,mazelen uitbraak,0,18.04.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-01-07,Oekraïne,oorlog,0,1.07.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-07-13,Frankrijk,bosbrand,0,13.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,Taiwan,,14,26.11.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-08-31,Bahama's,orkaan,,31.08.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-08-28,Grote oceaan,typhoon,0,28.08.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,Ethiopië,humanitaire catastrofe,0,14.06.2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2021-09-08,Japan,coronavirus,0,9.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-03-27,Oekraïne,oorlog,,27.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-10-14,Frankrijk,coronavirus,0,14.10.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30,Rusland,overstromingen,5,30.06.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-09-29,Verenigde staten,orkaan,0,29.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-10-13,Afghanistan,,0,13.10.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-02-17,Verenigde staten,winterse storm,5,17.02.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-28,Azerbeidzjan,,"{'dood': 6, 'gewond': 19}",28.09.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
